,dates,confirmed,deaths,recovered,unrecovered,confirmed_increment,deaths_increment,recovered_increment,unrecovered_increment,death_rate,recovered_rate,mobility,people_vaccinated,total_tests,icu_patients,hosp_patients,median_age,trends_covid,trends_vaccine
107,107,3951003,278967,1317590,2354446,90279.0,5550.0,36413.0,48316.0,0.07060662824098084,0.3334824094033844,451753.19999999995,0.0,34787712.0,9969.0,66061.0,30.347457627118633,62.0,11.0
108,108,4036226,283191,1371031,2382004,85223.0,4224.0,53441.0,27558.0,0.07016232490450237,0.33968142517292144,445300.61000000034,0.0,35034682.0,9596.0,64579.0,30.347457627118633,60.0,10.0
109,109,4111202,286748,1404840,2419614,74976.0,3557.0,33809.0,37610.0,0.06974797151781888,0.3417102832699537,352900.49000000046,0.0,40038586.0,9445.0,63656.0,30.347457627118633,58.0,10.0
110,110,4187833,290235,1451725,2445873,76631.0,3487.0,46885.0,26259.0,0.06930433949968874,0.3466530303381248,68245.6100000001,0.0,37554661.0,9255.0,63553.0,30.347457627118633,64.0,10.0
111,111,4272324,295721,1488767,2487836,84491.0,5486.0,37042.0,41963.0,0.06921783085739752,0.3484677192085619,57881.56999999996,0.0,39121023.0,8732.0,61267.0,30.347457627118633,65.0,10.0
112,112,4357304,300864,1544639,2511801,84980.0,5143.0,55872.0,23965.0,0.06904820044688183,0.35449420100135315,434900.37000000034,0.0,40706667.0,8049.0,59460.0,30.301685393258417,63.0,9.0
113,113,4453535,306024,1584350,2563161,96231.0,5160.0,39711.0,51360.0,0.0687148523588565,0.35575110558241935,455794.5,0.0,44403080.0,7965.0,57382.0,30.301685393258417,63.0,10.0
114,114,4549267,311247,1632453,2605567,95732.0,5223.0,48103.0,42406.0,0.06841695596235613,0.35883868763912957,519065.89000000193,0.0,43763530.0,7686.0,55376.0,30.301685393258417,59.0,11.0
115,115,4643706,315424,1688864,2639418,94439.0,4177.0,56411.0,33851.0,0.06792505813244852,0.36368882956845244,507711.7099999991,0.0,44228675.0,7324.0,53534.0,30.301685393258417,57.0,10.0
116,116,4721728,318608,1729872,2673248,78022.0,3184.0,41008.0,33830.0,0.0674769914743077,0.3663641785380268,425642.56999999913,0.0,50542053.0,7160.0,53227.0,30.301685393258417,58.0,10.0
117,117,4810895,322371,1782788,2705736,89167.0,3763.0,52916.0,32488.0,0.06700852959792304,0.3705730430616341,458251.6200000003,0.0,47349601.0,6963.0,52924.0,30.301685393258417,60.0,14.0
118,118,4907670,327019,1834840,2745811,96775.0,4648.0,52052.0,40075.0,0.06663426840027956,0.37387191885354965,476191.5000000006,0.0,48883990.0,6641.0,50849.0,30.301685393258417,60.0,14.0
119,119,5009548,331797,1893810,2783941,101878.0,4778.0,58970.0,38130.0,0.06623292161288803,0.3780400946352845,495394.7800000002,0.0,50741602.0,6276.0,49724.0,30.301685393258417,58.0,10.0
